iter	Passed	Remaining
0	7	7146
1	12	6158
2	19	6488
3	23	5913
4	27	5555
5	33	5522
6	37	5302
7	41	5123
8	45	5006
9	50	4989
10	54	4874
11	57	4774
12	61	4695
13	67	4768
14	72	4745
15	76	4709
16	82	4771
17	86	4730
18	90	4690
19	95	4680
20	100	4688
21	104	4646
22	108	4611
23	113	4624
24	117	4584
25	121	4543
26	125	4511
27	131	4551
28	135	4525
29	139	4496
30	143	4498
31	147	4474
32	151	4449
33	156	4447
34	163	4520
35	169	4543
36	175	4566
37	181	4596
38	187	4608
39	194	4657
40	198	4645
41	203	4638
42	208	4647
43	213	4632
44	218	4630
45	222	4621
46	229	4647
47	233	4636
48	238	4625
49	244	4644
50	248	4629
51	253	4615
52	258	4619
53	262	4603
54	266	4585
55	270	4562
56	276	4566
57	280	4554
58	284	4534
59	289	4528
60	293	4522
61	298	4518
62	302	4500
63	308	4505
64	312	4493
65	316	4472
66	319	4455
67	325	4455
68	330	4454
69	333	4437
70	339	4443
71	345	4450
72	349	4439
73	354	4433
74	358	4419
75	362	4403
76	366	4389
77	371	4389
78	375	4374
79	379	4360
80	383	4347
81	388	4347
82	392	4332
83	396	4319
84	399	4305
85	405	4305
86	409	4292
87	413	4280
88	418	4280
89	422	4268
90	426	4256
91	430	4245
92	434	4241
93	439	4232
94	443	4220
95	446	4208
96	452	4211
97	456	4198
98	460	4186
99	464	4180
100	469	4176
101	473	4165
102	477	4154
103	480	4143
104	485	4141
105	490	4133
106	494	4123
107	498	4114
108	503	4113
109	507	4107
110	511	4099
111	517	4100
112	521	4090
113	525	4086
114	529	4076
115	534	4073
116	538	4065
117	542	4055
118	547	4051
119	551	4043
120	555	4035
121	559	4025
122	564	4023
123	568	4014
124	572	4005
125	575	3995
126	580	3992
127	585	3986
128	589	3977
129	593	3969
130	598	3969
131	602	3961
132	606	3953
133	611	3952
134	616	3947
135	620	3940
136	624	3935
137	630	3935
138	634	3929
139	638	3921
140	644	3924
141	649	3922
142	653	3917
143	657	3910
