Query,Query Length,Word Count,Noun Count,Is Question,Anomaly
How to learn Python,19,4,1,1,0
Best pizza places in New York,29,6,4,0,0
Current weather in London,25,4,2,0,0
Top 10 movies of 2023,21,5,1,0,0
How to cook spaghetti,21,4,1,1,0
Latest news in technology,25,4,2,0,0
Easy yoga poses for beginners,29,5,2,0,0
Best laptops under 1000 dollars,31,5,2,0,0
Famous paintings by Van Gogh,28,5,3,0,0
Upcoming Marvel movies,22,3,2,0,0
Top universities in the world,29,5,2,0,0
What is quantum computing,25,4,2,1,0
Symptoms of flu vs COVID,24,5,3,0,0
How to bake chocolate cake,26,5,2,1,0
Best books to read in 2024,26,6,1,0,0
Tips for saving money fast,26,5,2,0,0
Who won the World Cup 2022?,27,6,2,1,0
History of the Roman Empire,27,5,3,0,0
Popular tourist spots in Japan,30,5,3,0,0
How to start a blog,19,5,1,1,0
Ways to improve communication skills,36,5,3,0,0
Best exercises to lose belly fat,32,6,3,0,0
Current stock market trends,27,4,3,0,0
What is artificial intelligence?,32,4,1,1,0
Famous quotes by Albert Einstein,32,5,3,0,0
Python,6,1,1,0,1
asdf qwerty zxcv,16,3,3,0,1
Open file system root access now,32,6,4,0,1
weatherweatherweatherweather,28,1,1,0,1
How much is is is is this??,27,7,0,1,1
