iter	Logloss
0	0.686604963
1	0.6789909363
2	0.6722373962
3	0.6636628287
4	0.6567285265
5	0.6495044708
6	0.6428351811
7	0.6368906839
8	0.6299524035
9	0.6231506348
10	0.6173506601
11	0.6104287829
12	0.6047080994
13	0.5987045288
14	0.5935159411
15	0.5879011972
16	0.5814732143
17	0.5748457227
18	0.5685383933
19	0.5621461596
20	0.5579406738
21	0.5532035283
22	0.5488982064
23	0.5442769732
24	0.539352853
25	0.5349391392
26	0.5301695687
27	0.5248022897
28	0.5207515172
29	0.5162934984
30	0.5114477975
31	0.5067461286
32	0.5023609706
33	0.4986819131
34	0.4948943002
35	0.4913011823
36	0.4863324847
37	0.4830323356
38	0.4792981829
39	0.4761628287
40	0.4728981018
41	0.4687486921
42	0.4653085981
43	0.4621895381
44	0.4587946756
45	0.4554297311
46	0.4516846793
47	0.4487829753
48	0.4459551403
49	0.4426622118
50	0.4403015137
51	0.4372326987
52	0.4344029835
53	0.4320169449
54	0.4293293544
55	0.426423536
56	0.423557445
57	0.4210490091
58	0.4192717961
59	0.4165059498
60	0.4139736176
61	0.4112910679
62	0.4090994971
63	0.4069469452
64	0.4046848842
65	0.4021615165
66	0.3997079032
67	0.3970530646
68	0.3944189072
69	0.392625836
70	0.3897296906
71	0.388016728
72	0.3860003335
73	0.383833531
74	0.3819653102
75	0.3799521855
76	0.3776759011
77	0.3757016318
78	0.3743392944
79	0.3723060063
80	0.3704503196
81	0.3689928055
82	0.3672339576
83	0.3653954642
84	0.3635729109
85	0.3621995108
86	0.3607499259
87	0.3590291704
88	0.3571599688
89	0.355472265
90	0.3530833653
91	0.3517125266
92	0.3495654515
93	0.3484523773
94	0.3468483516
95	0.3455085754
96	0.343907329
97	0.3428399495
98	0.341690009
99	0.3403966086
