iter	Passed	Remaining
0	5	497
1	9	462
2	13	445
3	17	426
4	21	412
5	26	420
6	31	424
7	35	413
8	39	403
9	44	401
10	48	392
11	52	382
12	55	374
13	63	390
14	68	387
15	72	380
16	78	382
17	82	374
18	85	366
19	91	367
20	95	358
21	99	351
22	103	344
23	108	343
24	112	336
25	116	331
26	122	332
27	127	328
28	132	324
29	139	326
30	144	322
31	150	318
32	156	317
33	161	314
34	167	310
35	173	308
36	178	303
37	183	299
38	189	295
39	193	290
40	198	285
41	203	281
42	208	275
43	211	269
44	215	263
45	220	258
46	224	253
47	230	249
48	235	245
49	239	239
50	243	234
51	247	228
52	253	224
53	257	219
54	263	215
55	268	210
56	274	207
57	279	202
58	284	197
59	288	192
60	293	187
61	298	182
62	302	177
63	306	172
64	310	167
65	314	161
66	319	157
67	324	152
68	328	147
69	333	143
70	338	138
71	344	133
72	350	129
73	355	125
74	362	120
75	368	116
76	372	111
77	376	106
78	385	102
79	391	97
80	398	93
81	405	88
82	410	84
83	419	79
84	423	74
85	428	69
86	432	64
87	436	59
88	440	54
89	446	49
90	450	44
91	454	39
92	458	34
93	464	29
94	468	24
95	472	19
96	478	14
97	483	9
98	487	4
99	491	0
